Profit and Loss (USD),,,,
Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,157100,-157100
3,8319,3414,337300,-333886
4,21278,8911,597500,-588589
5,41394,17059,771200,-754141
6,66211,27309,838071,-810762
7,98161,41332,906146,-864814
8,133507,56778,958973,-902195
9,192147,78572,1016104,-937532
10,323457,136098,1070472,-934374
11,431750,191784,1203214,-1011430
12,594135,266048,1424057,-1158009
13,1810691,617052,1597014,-979962
14,1995938,671362,1657734,-986372
15,2823725,908590,1716006,-807416
16,2952166,971354,1778676,-807322
17,3085951,1038348,1838633,-800285
18,4343168,1539159,1899063,-359904
19,4484046,1615077,1958929,-343852
20,4682024,1753813,2018631,-264818
21,4873703,1885988,2079772,-193784
22,5085968,2021645,2141557,-119912
23,5697950,2280930,2265775,15155
24,6425513,2582366,2329840,252526
25,6678810,2721429,2394764,326665
26,7017904,2967451,2466009,501442
27,7200461,3070979,2535281,535698
28,7907203,3225579,2611257,614322
29,8906968,3711518,2737335,974183
30,9140992,3856441,2813440,1043001
31,9470847,4116643,2908243,1208400
32,9690085,4262833,2982783,1280050
33,9865154,4369936,3116081,1253855
34,10452459,4892101,3203706,1688395
35,11209013,5112209,3293717,1818492
36,12031979,5357320,3382108,1975212
37,12966246,5806472,3521119,2285353
38,13518644,6130630,3631130,2499500
39,14095473,6478901,3726777,2752124
40,15074419,6705488,3829532,2875956
41,16781202,7197861,3917947,3279914
42,17018292,7339495,4000954,3338541
43,17261081,7479587,4139819,3339768
44,17501573,7620396,4245107,3375289
45,17931348,7835053,4345468,3489585
46,18636859,8023952,4447642,3576310
47,19346530,8240771,4582088,3658683
48,20228400,8559701,4675764,3883937
49,20404438,8665913,4799476,3866437
50,20584021,8773810,4911188,3862622
51,20813919,8931793,5036672,3895121
52,21004596,8967363,5165393,3801970
53,21198694,9101054,5304642,3796412
54,22528490,9787775,5448259,4339516
55,23827147,10411492,5570987,4840505
56,24510193,10966371,5708791,5257580
57,25016929,11351683,5820645,5531038
58,25486709,11716343,5961193,5755150
59,26095409,12025116,6084452,5940664
60,26285611,12171028,6212476,5958552
61,26520469,12353541,6354542,5998999
62,27306331,12724327,6471105,6253222
63,27957849,13040470,6596319,6444151
64,28418825,13314699,6853410,6461289
65,28797441,13586530,6973549,6612981
66,29775471,14124127,7204832,6919295
67,30083975,14376653,7345214,7031439
68,30587980,14717199,7541693,7175506
69,30916278,14976883,7693188,7283695
70,31349368,15339503,7843107,7496396
71,31722411,15651959,7978779,7673180
72,32357581,16074140,8438731,7635409
73,32734130,16384184,8606014,7778170
74,33868444,17107045,8846077,8260968
75,34193297,17385394,9079913,8305481
76,35212143,17861370,9258581,8602789
77,36144227,18385817,9433439,8952378
78,37095346,19349976,9594268,9755708
79,38067025,20186679,9784822,10401857
80,40877907,21288604,9948824,11339780
81,43625833,22328170,10115186,12212984
82,44892078,23184311,10287361,12896950
83,45288987,23493316,10445165,13048151
84,45688410,23798756,10896234,12902522
85,46087103,24102325,11082974,13019351
86,46938374,24555181,11235454,13319727
87,47376394,24880706,11389199,13491507
88,47842093,25211967,11558364,13653603
89,49079337,25680528,11753310,13927218
90,50372093,26043618,11939998,14103620
