Day,Cash On Hand
0,3500000
1,3487400
2,3342900
3,1856019
4,183778
5,35194
6,1248140
7,592015
8,579534
9,586043
10,576085
11,556636
12,503178
13,301777
14,595506
15,333396
16,7655
17,304722
18,585288
19,43534
20,186810
21,467074
22,341111
23,208875
24,168817
25,375451
26,382188
27,339423
28,84951
29,304868
30,150819
31,460721
32,615419
33,42190
34,248119
35,143412
36,297143
37,722719
38,828408
39,689950
40,1068181
41,2696549
42,2082392
43,1977145
44,2122349
45,2461763
46,2029228
47,2319453
48,2811906
49,2426352
50,2094942
51,2214356
52,1581260
53,1186118
54,2387297
55,3383372
56,3761806
57,3626887
58,3688369
59,4003797
60,4001487
61,4109279
62,4793578
63,5329882
64,4598863
65,4269430
66,5031177
67,5214299
68,4738261
69,4930064
70,5228235
71,5480606
72,5293304
73,5283570
74,5888737
75,5994754
76,6849932
77,7622158
78,6582760
79,7378885
80,8734784
81,11038513
82,12147583
83,11987418
84,11536472
85,11763425
86,11488215
87,11176067
88,10138166
89,10928574
90,11639372
