Day ,Items ,Note ,  Amount   
90,Depreciation Expense,Non-Cash Expense - Depreciation," $10,000.00 "
90,Human Resource Expense,Counselled," $2,000.00 "
90,Human Resource Expense,Counselled," $2,000.00 "
90,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 495," $15,000.00 "
90,Marketing Expense,Cash Payment - Marketing Report Subscription," $20,000.00 "
90,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine," $5,500.00 "
90,Marketing Expense,Cash Payment - Marketing - New York - Red Wine," $5,500.00 "
90,Marketing Expense,Cash Payment - Marketing - New York - White Wine," $5,500.00 "
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine," $5,000.00 "
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine," $5,000.00 "
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine," $5,000.00 "
90,Marketing Expense,Cash Payment - Marketing - Detroit - Sparkling Wine," $3,000.00 "
90,Marketing Expense,Cash Payment - Marketing - Detroit - Red Wine," $3,000.00 "
90,Marketing Expense,Cash Payment - Marketing - Detroit - White Wine," $3,000.00 "
90,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine," $5,000.00 "
90,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine," $5,000.00 "
90,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine," $5,000.00 "
90,Marketing Expense,Cash Payment - Marketing - San Francisco - Sparkling Wine," $2,500.00 "
90,Marketing Expense,Cash Payment - Marketing - San Francisco - Red Wine," $2,500.00 "
90,Marketing Expense,Cash Payment - Marketing - San Francisco - White Wine," $2,500.00 "
90,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine", $100.00 
90,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine", $100.00 
90,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine", $100.00 
90,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.", $650.00 
90,Rental Expense,Cash Payment - Rental - New York," $6,700.00 "
90,Rental Expense,Cash Payment - Rental - Miami," $2,400.00 "
90,Rental Expense,Cash Payment - Rental - Los Angeles," $2,700.00 "
90,Rental Expense,Cash Payment - Rental - Detroit," $2,000.00 "
90,Rental Expense,Cash Payment - Rental - Chicago," $2,220.00 "
90,Rental Expense,Cash Payment - Rental - San Francisco," $2,240.00 "
90,Rental Expense,"Cash Payment - Rental - Washington, D.C."," $3,660.00 "
90,Salary Expense,Cash Payment - Salary Expense," $33,818.00 "
89,Depreciation Expense,Non-Cash Expense - Depreciation," $10,000.00 "
89,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 409," $15,000.00 "
89,Marketing Expense,Cash Payment - Marketing Report Subscription," $20,000.00 "
89,Marketing Expense,Cash Payment - Marketing - New York - Sparkling Wine," $5,500.00 "
89,Marketing Expense,Cash Payment - Marketing - New York - Red Wine," $5,500.00 "
89,Marketing Expense,Cash Payment - Marketing - New York - White Wine," $5,500.00 "
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine," $5,000.00 "
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine," $5,000.00 "
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine," $5,000.00 "
89,Marketing Expense,Cash Payment - Marketing - Detroit - Sparkling Wine," $3,000.00 "
89,Marketing Expense,Cash Payment - Marketing - Detroit - Red Wine," $3,000.00 "
89,Marketing Expense,Cash Payment - Marketing - Detroit - White Wine," $3,000.00 "
89,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine," $5,000.00 "
89,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine," $5,000.00 "
89,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine," $5,000.00 "
89,Marketing Expense,Cash Payment - Marketing - San Francisco - Sparkling Wine," $2,500.00 "
89,Marketing Expense,Cash Payment - Marketing - San Francisco - Red Wine," $2,500.00 "
89,Marketing Expense,Cash Payment - Marketing - San Francisco - White Wine," $2,500.00 "
89,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine", $100.00 
89,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine", $100.00 
89,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine", $100.00 
89,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco, $128.00 
89,Overflow Expense - Retail,"Cash Payment - Overflow Fee  - Washington, D.C.", $780.00 
89,Rental Expense,Cash Payment - Rental - New York," $6,700.00 "
89,Rental Expense,Cash Payment - Rental - Miami," $2,400.00 "
89,Rental Expense,Cash Payment - Rental - Los Angeles," $2,700.00 "
89,Rental Expense,Cash Payment - Rental - Detroit," $2,000.00 "
89,Rental Expense,Cash Payment - Rental - Chicago," $2,220.00 "
89,Rental Expense,Cash Payment - Rental - San Francisco," $2,240.00 "
